"Package","Version","Built","LibPath"
"abind","1.4-8","R 4.6.1; ; 2026-09-09 05:51:14 UTC; unix","/Users/home/numivivo-r-library-20260909"
"BH","1.90.0-1","R 4.6.1; ; 2026-09-09 05:51:22 UTC; unix","/Users/home/numivivo-r-library-20260909"
"Biobase","2.72.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:36 UTC; unix","/Users/home/numivivo-r-library-20260909"
"BiocGenerics","0.58.1","R 4.6.1; ; 2026-09-09 05:51:31 UTC; unix","/Users/home/numivivo-r-library-20260909"
"BiocManager","1.30.27","R 4.6.1; ; 2026-09-09 05:51:10 UTC; unix","/Users/home/numivivo-r-library-20260909"
"BiocParallel","1.46.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:40 UTC; unix","/Users/home/numivivo-r-library-20260909"
"BiocVersion","3.23.1","R 4.6.1; ; 2026-09-09 05:51:25 UTC; unix","/Users/home/numivivo-r-library-20260909"
"cli","3.6.6","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:17 UTC; unix","/Users/home/numivivo-r-library-20260909"
"cpp11","0.5.5","R 4.6.1; ; 2026-09-09 05:51:17 UTC; unix","/Users/home/numivivo-r-library-20260909"
"DelayedArray","0.38.2","R 4.6.1; ; 2026-09-09 05:52:17 UTC; unix","/Users/home/numivivo-r-library-20260909"
"DESeq2","1.52.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:52:32 UTC; unix","/Users/home/numivivo-r-library-20260909"
"edgeR","4.10.5","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:43 UTC; unix","/Users/home/numivivo-r-library-20260909"
"farver","2.1.2","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:14 UTC; unix","/Users/home/numivivo-r-library-20260909"
"formatR","1.14","R 4.6.1; ; 2026-09-09 05:51:14 UTC; unix","/Users/home/numivivo-r-library-20260909"
"futile.logger","1.4.9","R 4.6.1; ; 2026-09-09 05:51:33 UTC; unix","/Users/home/numivivo-r-library-20260909"
"futile.options","1.0.1","R 4.6.1; ; 2026-09-09 05:51:14 UTC; unix","/Users/home/numivivo-r-library-20260909"
"generics","0.1.4","R 4.6.1; ; 2026-09-09 05:51:16 UTC; unix","/Users/home/numivivo-r-library-20260909"
"GenomicRanges","1.64.0","R 4.6.1; ; 2026-09-09 05:52:05 UTC; unix","/Users/home/numivivo-r-library-20260909"
"ggplot2","4.0.3","R 4.6.1; ; 2026-09-09 05:51:46 UTC; unix","/Users/home/numivivo-r-library-20260909"
"glue","1.8.1","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:14 UTC; unix","/Users/home/numivivo-r-library-20260909"
"gtable","0.3.6","R 4.6.1; ; 2026-09-09 05:51:33 UTC; unix","/Users/home/numivivo-r-library-20260909"
"IRanges","2.46.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:45 UTC; unix","/Users/home/numivivo-r-library-20260909"
"isoband","0.3.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:30 UTC; unix","/Users/home/numivivo-r-library-20260909"
"jsonlite","2.0.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:28 UTC; unix","/Users/home/numivivo-r-library-20260909"
"labeling","0.4.3","R 4.6.1; ; 2026-09-09 05:51:15 UTC; unix","/Users/home/numivivo-r-library-20260909"
"lambda.r","1.2.4","R 4.6.1; ; 2026-09-09 05:51:30 UTC; unix","/Users/home/numivivo-r-library-20260909"
"lifecycle","1.0.5","R 4.6.1; ; 2026-09-09 05:51:31 UTC; unix","/Users/home/numivivo-r-library-20260909"
"limma","3.68.5","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:32 UTC; unix","/Users/home/numivivo-r-library-20260909"
"locfit","1.5-9.12","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:23 UTC; unix","/Users/home/numivivo-r-library-20260909"
"MatrixGenerics","1.24.0","R 4.6.1; ; 2026-09-09 05:51:32 UTC; unix","/Users/home/numivivo-r-library-20260909"
"matrixStats","1.5.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:23 UTC; unix","/Users/home/numivivo-r-library-20260909"
"R6","2.6.1","R 4.6.1; ; 2026-09-09 05:51:15 UTC; unix","/Users/home/numivivo-r-library-20260909"
"RColorBrewer","1.1-3","R 4.6.1; ; 2026-09-09 05:51:15 UTC; unix","/Users/home/numivivo-r-library-20260909"
"Rcpp","1.1.2","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:23 UTC; unix","/Users/home/numivivo-r-library-20260909"
"RcppArmadillo","15.6.0-1","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:43 UTC; unix","/Users/home/numivivo-r-library-20260909"
"rlang","1.3.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:18 UTC; unix","/Users/home/numivivo-r-library-20260909"
"S4Arrays","1.12.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:52:02 UTC; unix","/Users/home/numivivo-r-library-20260909"
"S4Vectors","0.50.2","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:35 UTC; unix","/Users/home/numivivo-r-library-20260909"
"S7","0.2.2","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:20 UTC; unix","/Users/home/numivivo-r-library-20260909"
"scales","1.4.0","R 4.6.1; ; 2026-09-09 05:51:34 UTC; unix","/Users/home/numivivo-r-library-20260909"
"Seqinfo","1.2.0","R 4.6.1; ; 2026-09-09 05:52:02 UTC; unix","/Users/home/numivivo-r-library-20260909"
"snow","0.4-4","R 4.6.1; ; 2026-09-09 05:51:16 UTC; unix","/Users/home/numivivo-r-library-20260909"
"SparseArray","1.12.2","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:52:07 UTC; unix","/Users/home/numivivo-r-library-20260909"
"statmod","1.5.2","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:26 UTC; unix","/Users/home/numivivo-r-library-20260909"
"SummarizedExperiment","1.42.0","R 4.6.1; ; 2026-09-09 05:52:25 UTC; unix","/Users/home/numivivo-r-library-20260909"
"vctrs","0.7.3","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:51:34 UTC; unix","/Users/home/numivivo-r-library-20260909"
"viridisLite","0.4.3","R 4.6.1; ; 2026-09-09 05:51:15 UTC; unix","/Users/home/numivivo-r-library-20260909"
"withr","3.0.3","R 4.6.1; ; 2026-09-09 05:51:22 UTC; unix","/Users/home/numivivo-r-library-20260909"
"XVector","0.52.0","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-09-09 05:52:02 UTC; unix","/Users/home/numivivo-r-library-20260909"
"base","4.6.1","R 4.6.1; ; 2026-07-05 00:44:22 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"boot","1.3-32","R 4.6.1; ; 2026-07-05 00:45:49 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"class","7.3-23","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:47 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"cluster","2.1.8.2","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:47 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"codetools","0.2-20","R 4.6.1; ; 2026-07-05 00:44:40 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"compiler","4.6.1","R 4.6.1; ; 2026-07-05 00:43:16 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"datasets","4.6.1","R 4.6.1; ; 2026-07-05 00:44:04 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"foreign","0.8-91","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:40 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"graphics","4.6.1","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:43:45 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"grDevices","4.6.1","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:43:39 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"grid","4.6.1","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:14 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"KernSmooth","2.23-26","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:42 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"lattice","0.22-9","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:40 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"MASS","7.3-65","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:40 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"Matrix","1.7-5","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:49 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"methods","4.6.1","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:05 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"mgcv","1.9-4","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:45:32 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"nlme","3.1-169","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:50 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"nnet","7.3-20","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:45 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"parallel","4.6.1","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:21 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
"rpart","4.1.27","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-05 00:44:45 UTC; unix","/opt/homebrew/Cellar/r/4.6.1/lib/R/library"
