sampleID	donor	condition	batch	libraryCounts	sizeFactor
BR1016	BR1016	shamB	B040	7195886	1.0134599204423362
BR1019	BR1019	shamB	B039	11000364	1.6161681330138742
BR1021	BR1021	shamA	B036	7546398	1.0409014642980752
BR1023	BR1023	shamB	B040	5459596	0.7400223440480239
BR1025	BR1025	shamA	B040	4812001	0.6057212864120872
BR1028	BR1028	shamA	B039	9408359	1.3306187639238118
BR1037	BR1037	shamB	B036	12479827	1.7070081597668283
BR1040	BR1040	shamA	B040	6040796	0.7748495501322393
BR1042	BR1042	shamB	B040	7142669	1.016562007533629
BR2009	BR2009	shamA	B039	8015096	1.0318314051015092
BR2015	BR2015	shamA	B040	4461592	0.657907972856283
BR2016	BR2016	shamB	B040	7156852	1.0773708040385377
