sampleID	librarySize	normFactor	effectiveLibrary
BR1006	8319618.76865767	1	8319618.76865767
BR1011	8247260.04262514	1	8247260.04262514
BR1013	6344597.05828836	1	6344597.05828836
BR1014	6735159.26154764	1	6735159.26154764
BR1054	5131535.63052198	1	5131535.63052198
BR1058	9603338.00593933	1	9603338.00593933
BR2008	6055381.41411268	1	6055381.41411268
BR2032	6614039.8737753	1	6614039.8737753
BR2039	4673381.09983169	1	4673381.09983169
BR2045	9158999.71081035	1	9158999.71081035
BR2047	7885912.1739107	1	7885912.1739107
BR2048	12305200.2745323	1	12305200.2745323
